Title,URL,Time
"‘I pray they come together’ - Americans react to Trump’s feud with Pope LeoHours after posting a lengthy message critiquing the pontiff, the US president shared a Jesus-like image of himself that he has since deleted.10 hrs agoUS & Canada",/news/videos/cp3l2vv69peo,N/A
Bongbong Marcos fights ill-health rumours with star jumpsThe Philippine President challenged anyone questioning his fitness to join him in the gym.8 hrs agoAsia,/news/videos/cj3775edd11o,N/A
"Quantum computing: A tech race Europe could win?With some promising computing companies in the field, could Europe be a leader in quantum tech?11 hrs ago",/news/articles/c20q4nv89yzo,N/A
Democrats were already scrambling in California's governor race. Then Swalwell dropped outCalifornia Democrats were already fretting about the race due to troubling polls and low name recognition12 hrs agoUS & Canada,/news/articles/cje419peejxo,N/A
1How Trump’s Jesus-like image and feud with the Pope are sparking backlash,/news/videos/c624dy3pgg2o,N/A
2US blockade of Iranian ports explained in two minutes,/news/videos/cd9vg5vggvqo,N/A
3‘I pray they come together’ - Americans react to Trump’s feud with Pope Leo,/news/videos/cp3l2vv69peo,N/A
4‘I don’t know why they’re coming’: Australians on Harry and Meghan's visit,/news/videos/crk18gnepmgo,N/A
5What's changed since Harry and Meghan last visited Australia in 2018?,/news/videos/c70dd4975r2o,N/A
"Chalamet thanked by boss of London's Royal Ballet and Opera for boosting ticket salesAlex Beard says the public response to Chalamet saying ""no-one cares about ballet or opera"" was ""fantastic.""1 hr agoCulture",/news/articles/c20qqwwwx73o,N/A
"Philippines accuses Chinese fishermen of dumping cyanide in South China SeaBeijing rejects the allegation as a ""farce"", while Manila claims the poison was used to kill fish and deprive troops stationed in the area of food.16 hrs agoAsia",/news/articles/cvgk331k44yo,N/A
"Man charged with attempted murder over attack on home of OpenAI's Sam AltmanThe Texas man, who also faces federal felony charges, allegedly had documents advocating for violence against AI executives.10 hrs agoUS & Canada",/news/articles/cq597n1pg6lo,N/A
"Hollywood stars unite to oppose Paramount and Warner Bros Discovery mergerStars like Emma Thompson and Ben Stiller signed an open letter against the deal, which Paramount said will ensure creators ""have more avenues for their work, not fewer"".10 hrs agoCulture",/news/articles/cz0egvr94zro,N/A
Trump deletes post depicting him as Jesus-like figureChristian allies of the president call the AI-generated image offensive as Trump says he thought it showed him as a doctor.17 hrs agoUS & Canada,/news/articles/c17v8y0z9z2o,N/A
Bongbong Marcos fights ill-health rumours with star jumpsThe Philippine President challenged anyone questioning his fitness to join him in the gym.8 hrs agoAsia,/news/videos/cj3775edd11o,N/A
"Italian PM condemns ally Trump over 'unacceptable' Pope criticismItaly's prime minister and the US president are close allies, but Trump has refused to apologise to the ""very weak"" Pope Leo XIV.17 hrs agoUS & Canada",/news/articles/cp841y07w5xo,N/A
1Hospital at centre of child HIV outbreak caught reusing syringes in undercover filming,/news/articles/clyrd818gd2o,N/A
2South Korea jails 90-year-old woman for laundering son's drug money,/news/articles/c70554w89rlo,N/A
3Harry and Meghan mix charity and business on Australia visit,/news/articles/cvgk3vpyzdqo,N/A
4Founder of China's Evergrande pleads guilty to fraud,/news/articles/cn788ymy5gno,N/A
5Italian PM condemns ally Trump over 'unacceptable' Pope criticism,/news/articles/cp841y07w5xo,N/A
6Trump's blockade threat raises risks and leaves predicaments unchanged,/news/articles/c8dl5mly2rzo,N/A
7Hungary's next PM would pick up if Putin calls and tell him to stop Ukraine war,/news/articles/cd6lzezp4zvo,N/A
8Carney says Canadians trust his plan after he wins majority,/news/articles/cp9vmepn010o,N/A
"9Lebanon seeks peace, but Hezbollah needs to be convinced first",/news/articles/cr51l794mlyo,N/A
10Greek police using masked migrants to forcibly push other migrants back across border,/news/articles/c86vpq42dl0o,N/A
Jeers and defensive crisis - Carrick facing first big Man Utd testManchester United head coach Michael Carrick has problems to solve before his side's crucial trip to Chelsea on Saturday evening.12 hrs agoMan Utd,/sport/football/articles/c248d021pqeo,N/A
Carrick says Martinez hair-pull red card 'one of worst decisions I've seen'Manchester United defender Lisandro Martinez is sent off after 56 minutes for pulling the hair of Leeds United striker Dominic Calvert-Lewin at Old Trafford.14 hrs agoMan Utd,/sport/football/articles/c145mdge2gdo,N/A
"How Champions League could decide £100m Alvarez's futureWith Julian Alvarez's Atletico Madrid future uncertain, European football expert Guillem Balague looks at how pivotal their Champions League run could prove.3 hrs ago",/sport/football/articles/ckgw8pr23pxo,N/A
"Sexist abuse of Union Berlin boss 'embarrassing'Union Berlin director of football Horst Heldt condemns ""insane"" sexist abuse directed at new head coach Marie-Louise Eta.2 hrs agoFootball",/sport/football/articles/cvgll58grkko,N/A
"Stokes says he must work differently with McCullumEngland captain Ben Stokes says suggestions of a rift with Brendon McCullum have been overstated, but acknowledges he must work with the head coach in a ""slightly different way"".2 hrs agoEngland",/sport/cricket/articles/cevk73ymg82o,N/A
"The Briton who remains in demand in NBA at 74BBC Sport charts the remarkable career of Alex McKechnie, who left Scotland to become one of the NBA's top physiotherapists with a reputation of saving basketball careers.5 hrs agoBasketball",/sport/basketball/articles/cqxldyldrreo,N/A
"'I should have died' - Taylor on 10 years since forced retirementSpeaking 10 years on from his retirement aged 26, former England batter James Taylor speaks about how he ""should have died"" from his heart condition.5 hrs agoCricket",/sport/cricket/articles/ckg9kjr0k5lo,N/A
British Broadcasting Corporation,/,N/A
Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links,N/A
